,VKORG,COND_TYPE,DST_CH,DIV,Month_year,Amount,Customer_ID,Internal_Grade,Mill,OFFER_ EFF_PR _NUMBER,OFFER_ALLOY_NUMBER,OFFER_ALLOY,OFFER_EFF_PR
48568,0400,Z133,02,02,202203,298.0,93649,SG1CrMo,Hamburg,,,,
48569,0400,Z133,02,02,202203,256.0,93649,SG1Mo,Hamburg,,,,
48570,0400,Z133,02,02,202203,291.0,93649,SG2CrMo,Hamburg,,,,
48571,0400,Z133,02,02,202203,536.0,93649,SG2CrMo100,Hamburg,,,,
48572,0400,Z133,02,02,202203,591.0,93649,SG2Ni,Hamburg,,,,
48573,0400,Z133,02,02,202203,254.0,93649,SG2NiCu,Hamburg,,,,
48574,0400,Z133,02,02,202203,697.0,93649,SG4NiMo,Hamburg,,,,
48575,0400,Z133,02,02,202203,434.0,93649,SG7NiMo,Hamburg,,,,
48576,0400,Z133,02,02,202203,533.0,93649,SG7SiCr,Hamburg,,,,
48577,0400,Z133,02,02,202203,262.0,93649,SU10CrMo,Hamburg,,,,
48578,0400,Z133,02,02,202203,222.0,93649,SU10Mo,Hamburg,,,,
48579,0400,Z133,02,02,202203,309.0,93649,SU10NiMo,Hamburg,,,,
48580,0400,Z133,02,02,202203,228.0,93649,SU11MnMo,Hamburg,,,,
48581,0400,Z133,02,02,202203,455.0,93649,SU12NiMo,Hamburg,,,,
48582,0400,Z133,02,02,202203,109.0,93649,SU6Ni,Hamburg,,,,
48583,0400,Z133,02,02,202203,802.0,93649,SU7MoNi250,Hamburg,,,,
48584,0400,Z133,02,02,202203,562.0,93649,SU7Ni,Hamburg,,,,
48585,0400,Z133,02,02,202203,589.0,93649,SU8MoCrV,Hamburg,,,,
48586,0400,Z133,02,02,202203,492.0,93649,SU9CrMo,Hamburg,,,,
48587,0400,Z133,02,02,202203,59.0,31503,DC100CR,Hamburg,,,,
48588,0400,Z133,02,02,202203,501.0,31503,SU12CrMo,Hamburg,,,,
48589,0400,Z133,02,02,202203,249.0,31503,DC13CRMO,Hamburg,,,,
48590,0400,Z133,02,02,202203,59.0,93616,DC100CRA,Hamburg,,75005.0,1,
48591,0400,Z133,02,02,202203,273.0,93616,DK22CRNIMOTI,Hamburg,,,,
48592,0400,Z133,02,02,202203,70.0,84716,A28N,Hamburg,,,,
48593,0400,Z133,02,02,202203,77.0,901047,DC51CrV,Hamburg,,,,
48594,0400,Z133,02,02,202203,79.0,901047,DC58CrV,Hamburg,,,,
48595,0400,Z133,02,02,202203,313.0,901047,DA10NICR,Hamburg,74620.0,,,1
48596,0400,Z133,02,02,202203,256.0,81162,SU8CuNi70,Hamburg,,,,
48597,0400,Z133,02,02,202203,275.0,81162,SG2MnMo,Hamburg,,,,
